  id  | article_date |   category    |              source_file               |         collected_at          |                             left                             
------+--------------+---------------+----------------------------------------+-------------------------------+--------------------------------------------------------------
 1693 | 2026-05-05   | world_economy | articles/world_economy/2026-05-05.json | 2026-05-05 11:15:31.014179+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上―不動産危
 1699 | 2026-05-06   | world_economy | articles/world_economy/2026-05-06.json | 2026-05-06 11:31:21.431593+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上――不動産
 1705 | 2026-05-07   | world_economy | articles/world_economy/2026-05-07.json | 2026-05-07 11:22:12.930278+00 | 中国大手不動産デベロッパー・万科が巨額損失を計上――不動産危
 1711 | 2026-05-08   | world_economy | articles/world_economy/2026-05-08.json | 2026-05-08 11:12:48.576444+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上――不動産
 1717 | 2026-05-09   | world_economy | articles/world_economy/2026-05-09.json | 2026-05-08 15:50:13.692573+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上―不動産危
 1723 | 2026-05-10   | world_economy | articles/world_economy/2026-05-10.json | 2026-05-09 20:03:44.950962+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上――不動産
 1729 | 2026-05-11   | world_economy | articles/world_economy/2026-05-11.json | 2026-05-10 20:05:18.756522+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上——不動産
 1735 | 2026-05-12   | world_economy | articles/world_economy/2026-05-12.json | 2026-05-12 00:08:11.712915+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上―不動産危
 1741 | 2026-05-13   | world_economy | articles/world_economy/2026-05-13.json | 2026-05-12 20:48:12.004809+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上――不動産
 1747 | 2026-05-14   | world_economy | articles/world_economy/2026-05-14.json | 2026-05-13 20:53:28.67448+00  | 中国大手不動産デベロッパー「万科」が巨額損失を計上——不動産
 1753 | 2026-05-15   | world_economy | articles/world_economy/2026-05-15.json | 2026-05-15 14:06:02.099885+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上——不動産
 1759 | 2026-05-16   | world_economy | articles/world_economy/2026-05-16.json | 2026-05-15 20:23:46.296181+00 | 中国大手不動産デベロッパー「万科」が巨額損失を計上――不動産
 1694 | 2026-05-05   | world_economy | articles/world_economy/2026-05-05.json | 2026-05-05 11:15:54.713407+00 | 解放されたイスラエル人人質、10月7日攻撃の榴散弾が今も体内
 1700 | 2026-05-06   | world_economy | articles/world_economy/2026-05-06.json | 2026-05-06 11:31:42.150411+00 | 解放されたイスラエル人人質、8ヶ月のトンネル生活と体内に残る
 1706 | 2026-05-07   | world_economy | articles/world_economy/2026-05-07.json | 2026-05-07 11:22:34.838594+00 | 解放されたイスラエル人質、体内に10月7日攻撃の砲弾破片が残
